name,price,emi,kilometer,fuel,transmission,link
2021 KIA SONET,5.89 lakh,"EMI ₹10,400/m","56,768 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2021-cars-new-delhi-10061469705/
2022 Maruti XL6,6.79 lakh,"EMI ₹11,985/m","81,177 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-xl6-2022-cars-ghaziabad-1053718642/
2014 Volkswagen Polo,2.62 lakh,"EMI ₹8,702/m","70,943 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-gurgaon-10180761703/
2025 Skoda Kylaq,8.93 lakh,"EMI ₹15,290/m","7,939 km",Petrol,Manual,https://www.cars24.com/buy-used-skoda-kylaq-2025-cars-gurgaon-10100460735/
2023 Maruti JIMNY,10.04 lakh,"EMI ₹17,191/m","68,705 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-jimny-2023-cars-noida-15136468781/
2021 Mercedes Benz GLC CLASS,39.50 lakh,"EMI ₹67,634/m","27,513 km",Petrol,Auto,https://www.cars24.com/buy-used-mercedes-benz-glc-class-2021-cars-new-delhi-10034662788/
2023 Hyundai NEW I20,5.69 lakh,"EMI ₹10,044/m","51,087 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-new-delhi-11238761744/
2019 Maruti Baleno,3.50 lakh,"EMI ₹6,175/m","95,031 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ghaziabad-10596868749/
2018 Renault Kwid,1.82 lakh,"EMI ₹3,213/m","43,994 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2018-cars-ghaziabad-11251064791/
2018 Honda City,5.52 lakh,"EMI ₹9,735/m","30,883 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2018-cars-gurgaon-10102503760/
2020 Mahindra XUV300,4.57 lakh,"EMI ₹12,035/m","75,621 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-xuv300-2020-cars-noida-10568465720/
2021 Renault Kwid,2.56 lakh,"EMI ₹4,519/m","66,912 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2021-cars-ghaziabad-11069561749/
2024 Tata PUNCH,5.66 lakh,"EMI ₹9,991/m","8,028 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-punch-2024-cars-noida-36053402700/
2020 Honda City,6.46 lakh,"EMI ₹11,404/m","79,411 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2020-cars-gurgaon-16308967721/
2017 Volkswagen Ameo,2.82 lakh,"EMI ₹5,513/m","95,386 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-faridabad-11012465728/
2018 Tata Tiago,3.28 lakh,"EMI ₹5,790/m","12,862 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2018-cars-noida-10041360709/
2023 Hyundai GRAND I10 NIOS,4.15 lakh,"EMI ₹7,326/m","52,645 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2023-cars-gurgaon-10165568722/
2022 Toyota Glanza,5.36 lakh,"EMI ₹9,462/m","68,253 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-glanza-2022-cars-gurgaon-29925069746/
2018 Maruti Swift,3.88 lakh,"EMI ₹6,849/m","48,784 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2018-cars-gurgaon-29677768788/
2014 Hyundai i20,1.92 lakh,"EMI ₹6,377/m","57,529 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i20-2014-cars-gurgaon-10107161729/
2021 Hyundai Tucson,11.62 lakh,"EMI ₹19,896/m","78,350 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-tucson-2021-cars-gurgaon-10118362738/
2018 Toyota YARIS,3.76 lakh,"EMI ₹6,637/m","75,472 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-yaris-2018-cars-gurgaon-10156669745/
2020 Hyundai Creta,7.07 lakh,"EMI ₹18,618/m","60,624 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-faridabad-11584068750/
2015 Hyundai Eon,1.26 lakh,"EMI ₹3,318/m","55,997 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2015-cars-new-delhi-10067262722/
2023 Hyundai VENUE,5.70 lakh,"EMI ₹10,062/m","16,161 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-venue-2023-cars-noida-44578565768/
2022 Jeep Compass,14.36 lakh,"EMI ₹27,333/m","65,823 km",Diesel,Auto,https://www.cars24.com/buy-used-jeep-compass-2022-cars-noida-10564867752/
2017 BMW 3 Series,19.00 lakh,"EMI ₹167,925/m","29,226 km",Diesel,Auto,https://www.cars24.com/buy-used-bmw-3-series-2017-cars-new-delhi-10067368735/
2018 Maruti Ciaz,4.00 lakh,"EMI ₹7,061/m","72,881 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-new-delhi-10092860754/
2021 Toyota Innova Crysta,18.50 lakh,"EMI ₹40,223/m","51,576 km",Diesel,Manual,https://www.cars24.com/buy-used-toyota-innova-crysta-2021-cars-new-delhi-10083062723/
2021 Tata PUNCH,3.91 lakh,"EMI ₹6,902/m","83,614 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-punch-2021-cars-faridabad-10146462706/
2021 KIA SELTOS,8.32 lakh,"EMI ₹18,090/m","1,15,492 km",Diesel,Manual,https://www.cars24.com/buy-used-kia-seltos-2021-cars-new-delhi-10097861727/
2019 Hyundai Grand i10,3.04 lakh,"EMI ₹5,358/m","64,056 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-new-delhi-10118305704/
2020 Toyota YARIS,5.29 lakh,"EMI ₹9,338/m","75,297 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-yaris-2020-cars-ghaziabad-11252064744/
2022 Volkswagen TAIGUN,6.60 lakh,"EMI ₹11,651/m","62,917 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-taigun-2022-cars-new-delhi-10039305798/
2019 Nissan Kicks,4.50 lakh,"EMI ₹7,944/m","48,187 km",Petrol,Manual,https://www.cars24.com/buy-used-nissan-kicks-2019-cars-new-delhi-10030167745/
2016 Hyundai Creta,4.40 lakh,"EMI ₹9,788/m","98,539 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-gurgaon-10160160726/
2016 Honda City,2.99 lakh,"EMI ₹6,651/m","70,341 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2016-cars-gurgaon-11002161718/
2019 KIA SELTOS,6.70 lakh,"EMI ₹11,827/m","67,251 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-seltos-2019-cars-gurgaon-13873369706/
2024 Mahindra BOLERO NEO,7.60 lakh,"EMI ₹13,416/m","32,646 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-bolero-neo-2024-cars-gurgaon-11014261740/
2023 KIA SONET,6.79 lakh,"EMI ₹11,986/m","32,948 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2023-cars-new-delhi-10040068730/
2021 Renault Duster,5.96 lakh,"EMI ₹10,521/m","47,632 km",Petrol,Auto,https://www.cars24.com/buy-used-renault-duster-2021-cars-noida-11209062736/
2022 Maruti S Cross,6.95 lakh,"EMI ₹12,269/m","42,792 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-s-cross-2022-cars-gurgaon-44587867706/
2025 Nissan MAGNITE,6.61 lakh,"EMI ₹11,668/m","9,435 km",Petrol,Auto,https://www.cars24.com/buy-used-nissan-magnite-2025-cars-new-delhi-10099562732/
2019 Hyundai Creta,7.66 lakh,"EMI ₹13,530/m","82,989 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-faridabad-10146061700/
2019 Honda City,4.85 lakh,"EMI ₹8,562/m","44,509 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2019-cars-new-delhi-10010568725/
2018 Audi A3,16.00 lakh,"EMI ₹27,396/m","24,077 km",Petrol,Auto,https://www.cars24.com/buy-used-audi-a3-2018-cars-new-delhi-10034662784/
2019 Honda City,5.75 lakh,"EMI ₹10,150/m","57,022 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2019-cars-new-delhi-10026566738/
2021 Tata ALTROZ,3.67 lakh,"EMI ₹6,479/m","90,269 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2021-cars-noida-10500162701/
2020 KIA SONET,5.29 lakh,"EMI ₹9,344/m","76,349 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2020-cars-new-delhi-10087565730/
2018 Maruti Ciaz,4.89 lakh,"EMI ₹8,632/m","60,542 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-gurgaon-10157569786/
2018 Hyundai Elite i20,4.02 lakh,"EMI ₹8,942/m","82,162 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-new-delhi-15186669704/
2015 Volkswagen Polo,2.81 lakh,"EMI ₹7,400/m","16,215 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-ghaziabad-10057064708/
2023 Maruti Baleno,6.45 lakh,"EMI ₹11,386/m","70,473 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-baleno-2023-cars-gurgaon-13344665743/
2017 Maruti Baleno,3.39 lakh,"EMI ₹6,628/m","90,733 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-ghaziabad-11249268768/
2019 Honda Amaze,4.31 lakh,"EMI ₹14,315/m","91,811 km",Diesel,Manual,https://www.cars24.com/buy-used-honda-amaze-2019-cars-gurgaon-10084462739/
2018 Maruti Baleno,3.59 lakh,"EMI ₹7,978/m","98,195 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-noida-10056268734/
2018 Renault Captur,3.94 lakh,"EMI ₹6,955/m","80,876 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-captur-2018-cars-ghaziabad-10594760720/
2016 Renault Kwid,1.86 lakh,"EMI ₹4,141/m","58,566 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-noida-11006962743/
2018 Maruti Swift,3.90 lakh,"EMI ₹6,885/m","29,469 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2018-cars-new-delhi-10082163741/
2022 Mahindra Thar,9.53 lakh,"EMI ₹16,318/m","27,661 km",Petrol,Manual,https://www.cars24.com/buy-used-mahindra-thar-2022-cars-noida-10150565754/
