name,price,emi,kilometer,fuel,transmission,link
2024 Hyundai AURA,6.90 lakh,"EMI ₹12,180/m","11,706 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-aura-2024-cars-bangalore-10200765709/
2016 Renault Kwid,2.20 lakh,"EMI ₹4,894/m","53,753 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-bangalore-10289865743/
2019 Hyundai Elite i20,4.90 lakh,"EMI ₹8,650/m","72,151 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-bangalore-10280767736/
2021 Tata TIGOR,5.15 lakh,"EMI ₹9,091/m","36,219 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tigor-2021-cars-bangalore-10254862785/
2023 KIA CARENS,11.95 lakh,"EMI ₹20,461/m","32,480 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-carens-2023-cars-bangalore-10816467743/
2016 Ford Figo Aspire,3.01 lakh,"EMI ₹6,696/m","90,179 km",Petrol,Auto,https://www.cars24.com/buy-used-ford-figo-aspire-2016-cars-bangalore-10206461786/
2021 Nissan MAGNITE,4.61 lakh,"EMI ₹8,138/m","69,890 km",Petrol,Manual,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-bangalore-10211160786/
2023 Honda City,11.20 lakh,"EMI ₹19,177/m","14,294 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2023-cars-bangalore-10210668706/
2019 Volkswagen Polo,5.81 lakh,"EMI ₹10,256/m","38,824 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-bangalore-10284368723/
2016 Hyundai Elite i20,4.23 lakh,"EMI ₹9,409/m","83,185 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-bangalore-10230163742/
2021 MG HECTOR,8.84 lakh,"EMI ₹15,136/m","42,449 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2021-cars-bangalore-10205963794/
2021 Ford Ecosport,7.19 lakh,"EMI ₹12,692/m","54,326 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2021-cars-bangalore-10238768706/
2018 Honda Amaze,4.41 lakh,"EMI ₹7,785/m","37,482 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-amaze-2018-cars-bangalore-10260569786/
2017 Maruti Wagon R 1.0,3.26 lakh,"EMI ₹6,377/m","43,965 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-bangalore-10240564788/
2019 Maruti Swift,4.25 lakh,"EMI ₹9,454/m","1,17,757 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-swift-2019-cars-bangalore-10231860728/
2020 KIA SELTOS,9.51 lakh,"EMI ₹16,283/m","44,276 km",Petrol,Auto,https://www.cars24.com/buy-used-kia-seltos-2020-cars-bangalore-10248560748/
2018 Maruti Swift,4.73 lakh,"EMI ₹8,350/m","21,444 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-swift-2018-cars-bangalore-14078761731/
2021 Honda Jazz,6.36 lakh,"EMI ₹11,227/m","42,409 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-jazz-2021-cars-bangalore-10248565736/
2015 Tata Zest,3.31 lakh,"EMI ₹10,994/m","73,618 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-zest-2015-cars-bangalore-10278061744/
2013 Hyundai i10,2.55 lakh,"EMI ₹12,004/m","55,385 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-bangalore-10222669727/
2015 Renault Kwid,1.99 lakh,"EMI ₹5,240/m","77,936 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2015-cars-bangalore-10493762747/
