name,price,emi,kilometer,fuel,transmission,link
2021 Tata Tiago,4.40 lakh,"EMI ₹7,772/m","40,981 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2021-cars-pune-10624567722/
2016 Volkswagen Vento,4.43 lakh,"EMI ₹11,666/m","1,48,434 km",Diesel,Auto,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-pune-10638466736/
2022 Tata TIGOR,5.37 lakh,"EMI ₹9,472/m","56,307 km",CNG,Manual,https://www.cars24.com/buy-used-tata-tigor-2022-cars-pune-10668360761/
2019 Hyundai Creta,8.90 lakh,"EMI ₹15,239/m","88,537 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-pune-10679863749/
2022 Maruti New Wagon-R,4.90 lakh,"EMI ₹8,650/m","29,742 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-pune-10697567747/
2015 Honda Jazz,3.17 lakh,"EMI ₹8,344/m","57,633 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-jazz-2015-cars-pune-10660965757/
2020 Skoda Superb,22.00 lakh,"EMI ₹37,669/m","67,152 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-superb-2020-cars-pune-10660769749/
2016 Hyundai Xcent,3.80 lakh,"EMI ₹8,453/m","38,314 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2016-cars-pune-10610264725/
2016 Honda BR-V,5.16 lakh,"EMI ₹11,480/m","52,881 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-br-v-2016-cars-pune-10643963745/
2021 Maruti Baleno,5.94 lakh,"EMI ₹10,483/m","59,964 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-pune-10633261737/
2018 Ford Ecosport,6.01 lakh,"EMI ₹10,616/m","55,292 km",Petrol,Auto,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-pune-10649362768/
2023 Maruti JIMNY,11.00 lakh,"EMI ₹18,835/m","23,871 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-jimny-2023-cars-pune-10608069721/
2024 MG HECTOR,18.50 lakh,"EMI ₹31,677/m","17,621 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2024-cars-pune-10661866729/
2020 Hyundai GRAND I10 NIOS,4.60 lakh,"EMI ₹8,120/m","63,895 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-pune-10619663756/
2019 Hyundai Grand i10,4.20 lakh,"EMI ₹7,414/m","41,635 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-pune-10685560728/
2023 BMW 3 SERIES GRAN LIMOUSINE,51.00 lakh,"EMI ₹87,324/m","31,354 km",Diesel,Auto,https://www.cars24.com/buy-used-bmw-3-series-gran-limousine-2023-cars-pune-10670164747/
2018 Maruti Ciaz,5.06 lakh,"EMI ₹8,931/m","54,778 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-pune-10671565766/
2017 Honda City,6.61 lakh,"EMI ₹12,915/m","78,267 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2017-cars-pune-10601861768/
2016 Audi Q3,13.60 lakh,"EMI ₹35,150/m","73,408 km",Diesel,Auto,https://www.cars24.com/buy-used-audi-q3-2016-cars-pune-10602508765/
2016 Hyundai Creta,6.50 lakh,"EMI ₹14,459/m","59,831 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2016-cars-pune-10626160722/
2021 Honda WR-V,5.62 lakh,"EMI ₹9,929/m","50,220 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-wr-v-2021-cars-pune-10605261762/
2015 Hyundai i10,2.40 lakh,"EMI ₹6,320/m","12,345 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2015-cars-pune-10611465741/
2022 Mahindra XUV700,15.80 lakh,"EMI ₹27,053/m","83,111 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-xuv700-2022-cars-pune-10655160702/
2019 Honda City,7.54 lakh,"EMI ₹13,310/m","36,007 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2019-cars-pune-10617969705/
2023 Mahindra Thar,11.43 lakh,"EMI ₹19,566/m","22,229 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-thar-2023-cars-pune-10625669766/
2019 Maruti XL6,6.96 lakh,"EMI ₹15,472/m","1,28,249 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-pune-10651468764/
2018 Jeep Compass,8.75 lakh,"EMI ₹14,982/m","52,875 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2018-cars-pune-10660369722/
2013 Mercedes Benz E Class,10.90 lakh,"EMI ₹50,803/m","40,546 km",Petrol,Auto,https://www.cars24.com/buy-used-mercedes-benz-e-class-2013-cars-pune-10689369711/
2023 KIA SELTOS,17.00 lakh,"EMI ₹29,108/m","25,710 km",Diesel,Auto,https://www.cars24.com/buy-used-kia-seltos-2023-cars-pune-10602565746/
2013 Ford Fiesta,2.50 lakh,"EMI ₹11,768/m","69,765 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-fiesta-2013-cars-pune-10691767706/
2022 Tata ALTROZ,6.16 lakh,"EMI ₹10,879/m","49,363 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-altroz-2022-cars-pune-10699961760/
2018 Hyundai Grand i10,4.00 lakh,"EMI ₹7,061/m","98,288 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-pune-10614162744/
2019 Honda City,7.34 lakh,"EMI ₹12,957/m","59,036 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-city-2019-cars-pune-10614363708/
2022 Tata NEXON,8.87 lakh,"EMI ₹15,189/m","11,036 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2022-cars-pune-10675162763/
2017 Maruti Baleno,4.40 lakh,"EMI ₹8,602/m","40,767 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-pune-10694362742/
2017 Jeep Compass,7.23 lakh,"EMI ₹14,142/m","43,024 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2017-cars-pune-10605160703/
2019 Volkswagen TIGUAN,16.01 lakh,"EMI ₹27,409/m","50,534 km",Petrol,Auto,https://www.cars24.com/buy-used-volkswagen-tiguan-2019-cars-pune-10637968764/
2014 Toyota Etios,1.92 lakh,"EMI ₹6,377/m","1,15,924 km",Petrol,Manual,https://www.cars24.com/buy-used-toyota-etios-2014-cars-pune-10649968710/
2024 MG GLOSTER,35.90 lakh,"EMI ₹61,470/m","17,351 km",Diesel,Auto,https://www.cars24.com/buy-used-mg-gloster-2024-cars-pune-10632960732/
2019 Mercedes Benz E Class,30.00 lakh,"EMI ₹51,367/m","54,992 km",Petrol,Auto,https://www.cars24.com/buy-used-mercedes-benz-e-class-2019-cars-pune-10628260729/
2019 Hyundai Verna,5.05 lakh,"EMI ₹8,915/m","54,338 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-pune-10665665784/
2020 Landrover Range Rover,1.49 Crore,"EMI ₹255,124/m","61,758 km",Diesel,Auto,https://www.cars24.com/buy-used-landrover-range-rover-2020-cars-pune-10664763734/
2021 Jeep Compass,12.56 lakh,"EMI ₹21,506/m","37,644 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2021-cars-pune-10697860740/
2018 Honda WR-V,5.25 lakh,"EMI ₹9,268/m","62,893 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-pune-10612967738/
2019 Maruti Swift,3.93 lakh,"EMI ₹8,742/m","1,05,839 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2019-cars-pune-12542168755/
2019 Hyundai Elite i20,4.68 lakh,"EMI ₹8,261/m","40,893 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-pune-10621065700/
2021 Maruti Baleno,5.00 lakh,"EMI ₹8,826/m","78,751 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-pune-10674962746/
2015 Maruti Swift,3.01 lakh,"EMI ₹7,926/m","1,48,537 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2015-cars-pune-10664266759/
2023 BMW Z4,85.00 lakh,"EMI ₹145,541/m","28,878 km",Petrol,Auto,https://www.cars24.com/buy-used-bmw-z4-2023-cars-pune-10666467710/
2020 Tata NEXON,7.10 lakh,"EMI ₹12,533/m","33,391 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2020-cars-pune-10686461701/
